iter	Logloss
0	0.5013235093
1	0.4014499568
2	0.3107754195
3	0.2569854884
4	0.2229889525
5	0.1975348854
6	0.1699444207
7	0.1488076643
8	0.1324862619
9	0.1248992107
10	0.1128387471
11	0.1028728274
12	0.0978118857
13	0.09208419685
14	0.08741612649
15	0.08308753934
16	0.07946258206
17	0.07503400616
18	0.07169480149
19	0.06666977186
20	0.0635988552
21	0.06138054051
22	0.05804144313
23	0.05580887569
24	0.0544915794
25	0.05253799867
26	0.05052206437
27	0.04724746494
28	0.0462026703
29	0.04480000423
30	0.04333700728
31	0.04114702807
32	0.03893112719
33	0.03655003336
34	0.03443370476
35	0.03310690902
36	0.03202590115
37	0.03089452683
38	0.02931405381
39	0.02841371657
40	0.02693523932
41	0.02522754574
42	0.02399418939
43	0.0233676259
44	0.02270076819
45	0.02170570558
46	0.02075177345
47	0.02018399097
48	0.01949057416
49	0.01854701622
50	0.01807167159
51	0.01762419982
52	0.01724056566
53	0.01689748761
54	0.0162578441
55	0.01564709412
56	0.01525540552
57	0.01485054179
58	0.01463656867
59	0.01429570682
60	0.01379693447
61	0.01356999317
62	0.01333809022
63	0.01305171654
64	0.01259231605
65	0.0122415307
66	0.01200254655
67	0.01183085917
68	0.01165972123
69	0.01148199595
70	0.01113305174
71	0.01085085052
72	0.01057822822
73	0.01033240454
74	0.01015551751
75	0.009856783068
76	0.009539980679
77	0.009259537541
78	0.009146853241
79	0.008759565393
80	0.008514008859
81	0.008267624634
82	0.00805282101
83	0.007818439148
84	0.007643081578
85	0.007530236506
86	0.007300359663
87	0.007157061018
88	0.006989556898
89	0.006880569749
90	0.0066924319
91	0.006584480373
92	0.006478447844
93	0.006287472874
94	0.006189496627
95	0.006072637082
96	0.005914568867
97	0.005797384168
98	0.005720172175
99	0.005560733135
100	0.0053994779
101	0.005355869641
102	0.005253941607
103	0.005138795579
104	0.005033464659
105	0.004961412497
106	0.00489236729
107	0.004793365554
108	0.004708272221
109	0.00462200351
110	0.004556111884
111	0.004489243143
112	0.004402143015
113	0.004306513294
114	0.0042665816
115	0.004205584855
116	0.004167444251
117	0.004142429354
118	0.00411257467
119	0.004032468528
120	0.003983451575
121	0.003940778315
122	0.003898842159
123	0.003854162991
124	0.003793139732
125	0.003710219394
126	0.003653337905
127	0.003566154028
128	0.003517238244
129	0.003470489061
130	0.003446113895
131	0.003414558507
132	0.003376550287
133	0.003345799911
134	0.003270608311
135	0.003235572757
136	0.003185732004
137	0.003102896241
138	0.003048995259
139	0.003006874203
140	0.002990061395
141	0.002925705188
142	0.002851050339
143	0.002815269611
144	0.002796255514
145	0.002714008834
146	0.002690806665
147	0.002628906253
148	0.002601595907
149	0.002540812941
150	0.002497130195
151	0.002468426208
152	0.002393980515
153	0.002357660129
154	0.002327133797
155	0.002309828156
156	0.00228180514
157	0.00226399311
158	0.002203025698
159	0.002176451707
160	0.00216958799
161	0.002122407347
162	0.002083746981
163	0.002053975194
164	0.002029308135
165	0.002007860144
166	0.002007849835
167	0.001958593063
168	0.001916341022
169	0.001887880432
170	0.001887849694
171	0.001887849694
172	0.001875394682
173	0.001875362327
174	0.001875394126
175	0.001875302643
176	0.001875255204
177	0.001875255204
178	0.001841748854
179	0.00183453618
180	0.0018121897
181	0.001803326408
182	0.001787084904
183	0.001743650302
184	0.001718507065
185	0.001706712235
186	0.001683855884
187	0.001662685664
188	0.001644275172
189	0.001626742002
190	0.001626742002
191	0.001626742002
192	0.001626742002
193	0.001626742002
194	0.001626742002
195	0.001626742002
196	0.001626742002
197	0.001619672831
198	0.001579998003
199	0.001535643078
200	0.001518088213
201	0.001497304461
202	0.001477838609
203	0.001477768233
204	0.001477787936
205	0.001477650517
206	0.001462082514
207	0.001462082514
208	0.001448805894
209	0.001427471384
210	0.00142749243
211	0.00142747527
212	0.001427442462
213	0.001427409483
214	0.001427370145
215	0.001427358261
216	0.001427315133
217	0.00142731635
218	0.001427270664
219	0.001427267746
220	0.001427272303
221	0.001427229456
222	0.001427256478
223	0.001427249668
224	0.001427227372
225	0.0014272014
226	0.001427185324
